Segment,Country,Product,Discount Band,Units Sold,Manufacturing Price,Sale Price,Gross Sales,Discounts,Sales,COGS,Profit,Date,Month Number,Month Name,Year
Midmarket,Canada,Paseo,None,$355.00,$7.00,$29.56,"$10,493.80",$0.00,"$10,493.80","$7,876.71","$2,617.09",10/24/2017,10,October,2017
Small Business,USA,Carretera,None,$427.00,$7.00,$84.79,"$36,205.33",$0.00,"$36,205.33","$22,576.86","$13,628.47",08/28/2015,8,August,2015
Midmarket,Mexico,Carretera,None,$651.00,$5.00,$73.80,"$48,043.80",$0.00,"$48,043.80","$39,399.84","$8,643.96",11/20/2018,11,November,2018
Midmarket,USA,Paseo,None,$392.00,$5.00,$96.65,"$37,886.80",$0.00,"$37,886.80","$32,871.42","$5,015.38",02/12/2014,2,February,2014
Enterprise,Canada,Paseo,None,$823.00,$3.00,$61.41,"$50,540.43",$0.00,"$50,540.43","$32,795.94","$17,744.49",10/08/2015,10,October,2015
Enterprise,USA,Carretera,None,$205.00,$3.00,$17.67,"$3,622.35",$0.00,"$3,622.35","$2,961.91",$660.44,10/13/2014,10,October,2014
Midmarket,Germany,Paseo,None,$761.00,$5.00,$63.77,"$48,528.97",$0.00,"$48,528.97","$35,596.76","$12,932.21",08/04/2017,8,August,2017
Small Business,Mexico,Paseo,None,$104.00,$5.00,$71.79,"$7,466.16",$0.00,"$7,466.16","$6,168.25","$1,297.91",12/20/2018,12,December,2018
Enterprise,USA,Carretera,None,$815.00,$7.00,$29.83,"$24,311.45",$0.00,"$24,311.45","$19,793.86","$4,517.59",10/11/2014,10,October,2014
Government,France,Carretera,None,$491.00,$3.00,$45.47,"$22,325.77",$0.00,"$22,325.77","$13,573.62","$8,752.15",05/15/2016,5,May,2016
Government,USA,Montana,None,$734.00,$3.00,$63.87,"$46,880.58",$0.00,"$46,880.58","$30,641.91","$16,238.67",01/24/2014,1,January,2014
Government,Mexico,Carretera,None,$249.00,$7.00,$43.67,"$10,873.83",$0.00,"$10,873.83","$8,060.86","$2,812.97",08/14/2014,8,August,2014
Small Business,Canada,Paseo,None,$452.00,$7.00,$43.75,"$19,775.00",$0.00,"$19,775.00","$17,403.55","$2,371.45",12/18/2018,12,December,2018
Midmarket,Canada,Carretera,None,$663.00,$3.00,$21.98,"$14,572.74",$0.00,"$14,572.74","$10,239.13","$4,333.61",05/20/2018,5,May,2018
Government,Mexico,Carretera,None,$846.00,$5.00,$94.67,"$80,090.82",$0.00,"$80,090.82","$63,164.59","$16,926.23",01/01/2015,1,January,2015
Small Business,Germany,Carretera,None,$712.00,$5.00,$77.54,"$55,208.48",$0.00,"$55,208.48","$33,325.23","$21,883.25",04/01/2014,4,April,2014
Enterprise,Germany,Montana,None,$672.00,$7.00,$10.11,"$6,793.92",$0.00,"$6,793.92","$5,525.75","$1,268.17",01/11/2014,1,January,2014
Midmarket,Canada,Montana,None,$977.00,$3.00,$78.91,"$77,095.07",$0.00,"$77,095.07","$60,205.12","$16,889.95",09/24/2018,9,September,2018
Enterprise,Canada,Paseo,None,$827.00,$7.00,$76.58,"$63,331.66",$0.00,"$63,331.66","$51,591.14","$11,740.52",10/20/2016,10,October,2016
Small Business,Mexico,Montana,None,$652.00,$5.00,$10.88,"$7,093.76",$0.00,"$7,093.76","$6,181.49",$912.27,02/06/2018,2,February,2018
Government,Germany,Carretera,None,$226.00,$5.00,$43.26,"$9,776.76",$0.00,"$9,776.76","$6,295.74","$3,481.02",08/05/2016,8,August,2016
Government,Canada,Montana,None,$498.00,$7.00,$64.61,"$32,175.78",$0.00,"$32,175.78","$21,830.52","$10,345.26",04/13/2018,4,April,2018
Small Business,Germany,Carretera,None,$792.00,$5.00,$50.75,"$40,194.00",$0.00,"$40,194.00","$36,123.73","$4,070.27",09/10/2017,9,September,2017
Government,Canada,Montana,None,$590.00,$3.00,$80.02,"$47,211.80",$0.00,"$47,211.80","$30,540.61","$16,671.19",02/06/2014,2,February,2014
Midmarket,USA,Montana,None,$350.00,$7.00,$48.29,"$16,901.50",$0.00,"$16,901.50","$13,794.80","$3,106.70",12/04/2016,12,December,2016
Small Business,France,Montana,None,$756.00,$7.00,$23.85,"$18,030.60",$0.00,"$18,030.60","$14,740.43","$3,290.17",03/04/2017,3,March,2017
Enterprise,USA,Carretera,None,$356.00,$7.00,$97.88,"$34,845.28",$0.00,"$34,845.28","$28,046.90","$6,798.38",02/07/2016,2,February,2016
Small Business,Canada,Montana,None,$800.00,$5.00,$31.78,"$25,424.00",$0.00,"$25,424.00","$16,989.13","$8,434.87",10/16/2015,10,October,2015
Midmarket,France,Carretera,None,$918.00,$3.00,$74.59,"$68,473.62",$0.00,"$68,473.62","$45,503.47","$22,970.15",05/01/2015,5,May,2015
Midmarket,France,Carretera,None,$945.00,$7.00,$22.88,"$21,621.60",$0.00,"$21,621.60","$17,295.17","$4,326.43",11/09/2014,11,November,2014
Small Business,Canada,Paseo,None,$316.00,$7.00,$39.61,"$12,516.76",$0.00,"$12,516.76","$8,209.43","$4,307.33",01/26/2017,1,January,2017
Small Business,Canada,Montana,None,$263.00,$5.00,$49.78,"$13,092.14",$0.00,"$13,092.14","$10,453.67","$2,638.47",12/19/2017,12,December,2017
Government,Germany,Paseo,None,$643.00,$3.00,$27.30,"$17,553.90",$0.00,"$17,553.90","$13,126.08","$4,427.82",03/20/2015,3,March,2015
Midmarket,Canada,Paseo,None,$689.00,$7.00,$50.50,"$34,794.50",$0.00,"$34,794.50","$24,912.47","$9,882.03",01/15/2014,1,January,2014
Small Business,Mexico,Carretera,None,$532.00,$5.00,$24.14,"$12,842.48",$0.00,"$12,842.48","$8,862.21","$3,980.27",10/09/2015,10,October,2015
Small Business,Canada,Montana,None,$311.00,$7.00,$60.31,"$18,756.41",$0.00,"$18,756.41","$16,585.79","$2,170.62",08/21/2017,8,August,2017
Midmarket,Mexico,Carretera,None,$116.00,$5.00,$69.73,"$8,088.68",$0.00,"$8,088.68","$6,086.15","$2,002.53",12/28/2016,12,December,2016
Small Business,Canada,Carretera,None,$623.00,$3.00,$15.62,"$9,731.26",$0.00,"$9,731.26","$7,477.26","$2,254.00",04/20/2017,4,April,2017
Government,Germany,Montana,None,$182.00,$5.00,$88.40,"$16,088.80",$0.00,"$16,088.80","$14,235.00","$1,853.80",03/28/2014,3,March,2014
Midmarket,Mexico,Carretera,None,$698.00,$7.00,$26.66,"$18,608.68",$0.00,"$18,608.68","$14,815.55","$3,793.13",08/22/2017,8,August,2017
Government,USA,Montana,None,$589.00,$7.00,$30.28,"$17,834.92",$0.00,"$17,834.92","$15,825.92","$2,009.00",09/01/2018,9,September,2018
Government,Mexico,Montana,None,$561.00,$5.00,$69.52,"$39,000.72",$0.00,"$39,000.72","$24,644.95","$14,355.77",08/26/2017,8,August,2017
Government,Germany,Carretera,None,$260.00,$3.00,$52.19,"$13,569.40",$0.00,"$13,569.40","$11,588.16","$1,981.24",06/01/2018,6,June,2018
Government,Mexico,Carretera,None,$766.00,$3.00,$54.95,"$42,091.70",$0.00,"$42,091.70","$29,490.47","$12,601.23",03/16/2015,3,March,2015
Midmarket,Canada,Paseo,None,$302.00,$7.00,$21.53,"$6,502.06",$0.00,"$6,502.06","$5,482.19","$1,019.87",08/05/2018,8,August,2018
Government,Canada,Carretera,None,$87.00,$7.00,$82.52,"$7,179.24",$0.00,"$7,179.24","$6,150.39","$1,028.85",05/21/2017,5,May,2017
Government,Germany,Montana,None,$92.00,$5.00,$65.53,"$6,028.76",$0.00,"$6,028.76","$4,108.28","$1,920.48",05/27/2017,5,May,2017
Small Business,France,Paseo,None,$678.00,$5.00,$22.18,"$15,038.04",$0.00,"$15,038.04","$10,867.23","$4,170.81",12/09/2017,12,December,2017
Midmarket,Canada,Montana,None,$454.00,$5.00,$43.66,"$19,821.64",$0.00,"$19,821.64","$16,210.22","$3,611.42",09/01/2014,9,September,2014
Midmarket,USA,Paseo,None,$751.00,$3.00,$82.94,"$62,287.94",$0.00,"$62,287.94","$39,223.76","$23,064.18",01/19/2015,1,January,2015
Enterprise,Germany,Carretera,None,$95.00,$3.00,$61.15,"$5,809.25",$0.00,"$5,809.25","$4,802.27","$1,006.98",07/16/2018,7,July,2018
Midmarket,Mexico,Carretera,None,$503.00,$7.00,$19.78,"$9,949.34",$0.00,"$9,949.34","$6,299.34","$3,650.00",08/03/2016,8,August,2016
Midmarket,Mexico,Carretera,None,$727.00,$7.00,$43.55,"$31,660.85",$0.00,"$31,660.85","$27,682.24","$3,978.61",11/04/2018,11,November,2018
Enterprise,USA,Montana,None,$354.00,$7.00,$31.84,"$11,271.36",$0.00,"$11,271.36","$7,697.23","$3,574.13",10/12/2017,10,October,2017
Midmarket,Canada,Paseo,None,$764.00,$5.00,$56.57,"$43,219.48",$0.00,"$43,219.48","$33,394.82","$9,824.66",03/07/2016,3,March,2016
Midmarket,Germany,Montana,None,$282.00,$3.00,$85.90,"$24,223.80",$0.00,"$24,223.80","$15,385.65","$8,838.15",08/15/2016,8,August,2016
Midmarket,USA,Paseo,None,$294.00,$7.00,$49.26,"$14,482.44",$0.00,"$14,482.44","$9,860.34","$4,622.10",01/23/2018,1,January,2018
Midmarket,Canada,Carretera,None,$770.00,$7.00,$49.00,"$37,730.00",$0.00,"$37,730.00","$27,210.37","$10,519.63",08/15/2018,8,August,2018
Enterprise,Germany,Montana,None,$809.00,$7.00,$91.48,"$74,007.32",$0.00,"$74,007.32","$55,217.95","$18,789.37",07/26/2018,7,July,2018
Midmarket,Mexico,Carretera,None,$344.00,$7.00,$61.86,"$21,279.84",$0.00,"$21,279.84","$12,768.33","$8,511.51",04/05/2018,4,April,2018
Midmarket,Germany,Montana,None,$888.00,$7.00,$60.96,"$54,132.48",$0.00,"$54,132.48","$46,911.03","$7,221.45",11/25/2015,11,November,2015
Enterprise,France,Carretera,None,$432.00,$7.00,$33.57,"$14,502.24",$0.00,"$14,502.24","$8,734.73","$5,767.51",07/23/2014,7,July,2014
Small Business,Germany,Montana,None,$207.00,$3.00,$64.70,"$13,392.90",$0.00,"$13,392.90","$11,144.30","$2,248.60",10/02/2014,10,October,2014
Government,France,Montana,None,$454.00,$7.00,$61.83,"$28,070.82",$0.00,"$28,070.82","$20,805.35","$7,265.47",11/12/2018,11,November,2018
Small Business,Germany,Paseo,None,$50.00,$3.00,$45.72,"$2,286.00",$0.00,"$2,286.00","$1,730.88",$555.12,07/19/2014,7,July,2014
Enterprise,France,Carretera,None,$266.00,$5.00,$99.16,"$26,376.56",$0.00,"$26,376.56","$17,473.93","$8,902.63",10/27/2018,10,October,2018
Government,Mexico,Paseo,None,$977.00,$3.00,$89.37,"$87,314.49",$0.00,"$87,314.49","$68,298.31","$19,016.18",12/23/2018,12,December,2018
Enterprise,Canada,Paseo,None,$556.00,$5.00,$77.46,"$43,067.76",$0.00,"$43,067.76","$32,781.87","$10,285.89",01/05/2018,1,January,2018
Enterprise,France,Carretera,None,$810.00,$3.00,$58.36,"$47,271.60",$0.00,"$47,271.60","$30,692.08","$16,579.52",03/23/2015,3,March,2015
Midmarket,France,Montana,None,$953.00,$3.00,$51.59,"$49,165.27",$0.00,"$49,165.27","$33,011.32","$16,153.95",07/25/2017,7,July,2017
Government,Mexico,Paseo,None,$630.00,$7.00,$26.64,"$16,783.20",$0.00,"$16,783.20","$10,406.78","$6,376.42",11/25/2014,11,November,2014
Midmarket,France,Carretera,None,$79.00,$3.00,$37.52,"$2,964.08",$0.00,"$2,964.08","$1,837.39","$1,126.69",05/03/2014,5,May,2014
Government,USA,Montana,None,$676.00,$3.00,$79.66,"$53,850.16",$0.00,"$53,850.16","$32,532.64","$21,317.52",09/24/2015,9,September,2015
Enterprise,Mexico,Paseo,None,$569.00,$7.00,$50.84,"$28,927.96",$0.00,"$28,927.96","$19,270.14","$9,657.82",07/06/2015,7,July,2015
Enterprise,USA,Paseo,None,$930.00,$5.00,$89.40,"$83,142.00",$0.00,"$83,142.00","$66,837.72","$16,304.28",03/13/2018,3,March,2018
Small Business,Mexico,Paseo,None,$324.00,$7.00,$23.31,"$7,552.44",$0.00,"$7,552.44","$5,247.92","$2,304.52",01/20/2018,1,January,2018
Government,France,Montana,None,$541.00,$7.00,$55.75,"$30,160.75",$0.00,"$30,160.75","$21,197.59","$8,963.16",05/15/2017,5,May,2017
Midmarket,USA,Paseo,None,$876.00,$7.00,$68.23,"$59,769.48",$0.00,"$59,769.48","$38,226.86","$21,542.62",10/04/2014,10,October,2014
Small Business,France,Montana,None,$975.00,$5.00,$56.52,"$55,107.00",$0.00,"$55,107.00","$42,577.94","$12,529.06",05/20/2015,5,May,2015
Small Business,Mexico,Paseo,None,$896.00,$3.00,$90.03,"$80,666.88",$0.00,"$80,666.88","$56,680.03","$23,986.85",07/07/2017,7,July,2017
Small Business,France,Carretera,None,$85.00,$3.00,$99.06,"$8,420.10",$0.00,"$8,420.10","$6,760.46","$1,659.64",01/22/2014,1,January,2014
Midmarket,USA,Paseo,None,$360.00,$7.00,$20.43,"$7,354.80",$0.00,"$7,354.80","$6,048.87","$1,305.93",10/18/2017,10,October,2017
Small Business,USA,Carretera,None,$93.00,$7.00,$21.70,"$2,018.10",$0.00,"$2,018.10","$1,564.85",$453.25,02/21/2017,2,February,2017
Midmarket,France,Carretera,None,$204.00,$3.00,$21.73,"$4,432.92",$0.00,"$4,432.92","$3,026.89","$1,406.03",11/21/2018,11,November,2018
Small Business,Germany,Carretera,None,$126.00,$3.00,$71.31,"$8,985.06",$0.00,"$8,985.06","$6,762.00","$2,223.06",06/22/2017,6,June,2017
Midmarket,Mexico,Montana,None,$639.00,$3.00,$43.54,"$27,822.06",$0.00,"$27,822.06","$18,796.01","$9,026.05",08/07/2018,8,August,2018
Enterprise,Mexico,Carretera,None,$662.00,$5.00,$76.00,"$50,312.00",$0.00,"$50,312.00","$43,815.41","$6,496.59",04/12/2014,4,April,2014
Enterprise,France,Paseo,None,$487.00,$5.00,$46.49,"$22,640.63",$0.00,"$22,640.63","$18,789.81","$3,850.82",03/11/2014,3,March,2014
Enterprise,Germany,Montana,None,$481.00,$7.00,$66.48,"$31,976.88",$0.00,"$31,976.88","$23,915.57","$8,061.31",03/24/2018,3,March,2018
Enterprise,USA,Carretera,None,$591.00,$5.00,$79.29,"$46,860.39",$0.00,"$46,860.39","$41,688.74","$5,171.65",03/12/2016,3,March,2016
Enterprise,Canada,Montana,None,$88.00,$7.00,$59.34,"$5,221.92",$0.00,"$5,221.92","$3,989.69","$1,232.23",02/26/2017,2,February,2017
Small Business,Canada,Montana,None,$288.00,$3.00,$58.56,"$16,865.28",$0.00,"$16,865.28","$11,781.42","$5,083.86",01/15/2014,1,January,2014
Small Business,France,Montana,None,$62.00,$3.00,$17.94,"$1,112.28",$0.00,"$1,112.28",$699.22,$413.06,05/08/2017,5,May,2017
Small Business,Germany,Paseo,None,$171.00,$7.00,$46.97,"$8,031.87",$0.00,"$8,031.87","$6,129.31","$1,902.56",10/11/2016,10,October,2016
Midmarket,Germany,Carretera,None,$193.00,$3.00,$59.12,"$11,410.16",$0.00,"$11,410.16","$9,791.34","$1,618.82",05/21/2017,5,May,2017
Midmarket,Mexico,Montana,None,$733.00,$7.00,$51.58,"$37,808.14",$0.00,"$37,808.14","$32,515.59","$5,292.55",05/18/2016,5,May,2016
Midmarket,USA,Montana,None,$504.00,$7.00,$91.07,"$45,899.28",$0.00,"$45,899.28","$35,864.33","$10,034.95",04/10/2015,4,April,2015
Midmarket,Germany,Montana,None,$417.00,$7.00,$91.59,"$38,193.03",$0.00,"$38,193.03","$27,423.80","$10,769.23",03/08/2016,3,March,2016
Enterprise,Canada,Carretera,None,$808.00,$5.00,$83.97,"$67,847.76",$0.00,"$67,847.76","$53,945.00","$13,902.76",12/06/2014,12,December,2014
Enterprise,USA,Montana,None,$296.00,$7.00,$43.78,"$12,958.88",$0.00,"$12,958.88","$10,738.27","$2,220.61",03/03/2018,3,March,2018
Enterprise,USA,Montana,None,$972.00,$7.00,$74.56,"$72,472.32",$0.00,"$72,472.32","$52,432.81","$20,039.51",02/20/2018,2,February,2018
Government,France,Paseo,None,$94.00,$7.00,$45.58,"$4,284.52",$0.00,"$4,284.52","$3,182.87","$1,101.65",05/12/2017,5,May,2017
Small Business,Germany,Carretera,None,$814.00,$5.00,$30.93,"$25,177.02",$0.00,"$25,177.02","$20,246.98","$4,930.04",04/17/2015,4,April,2015
Midmarket,France,Paseo,None,$424.00,$3.00,$40.86,"$17,324.64",$0.00,"$17,324.64","$14,951.09","$2,373.55",06/03/2017,6,June,2017
Midmarket,Germany,Carretera,None,$340.00,$5.00,$16.39,"$5,572.60",$0.00,"$5,572.60","$4,665.96",$906.64,02/20/2016,2,February,2016
Enterprise,Mexico,Carretera,None,$256.00,$7.00,$39.86,"$10,204.16",$0.00,"$10,204.16","$6,191.04","$4,013.12",02/18/2018,2,February,2018
Midmarket,France,Carretera,None,$973.00,$5.00,$51.47,"$50,080.31",$0.00,"$50,080.31","$31,916.77","$18,163.54",08/12/2016,8,August,2016
Midmarket,France,Paseo,None,$568.00,$3.00,$95.99,"$54,522.32",$0.00,"$54,522.32","$46,662.03","$7,860.29",06/22/2018,6,June,2018
Small Business,Canada,Paseo,None,$291.00,$3.00,$38.21,"$11,119.11",$0.00,"$11,119.11","$9,452.88","$1,666.23",03/24/2018,3,March,2018
Enterprise,France,Paseo,None,$671.00,$7.00,$91.22,"$61,208.62",$0.00,"$61,208.62","$43,864.67","$17,343.95",05/16/2018,5,May,2018
Small Business,Germany,Paseo,None,$163.00,$3.00,$30.60,"$4,987.80",$0.00,"$4,987.80","$3,866.96","$1,120.84",03/28/2014,3,March,2014
Government,Canada,Montana,None,$868.00,$5.00,$27.19,"$23,600.92",$0.00,"$23,600.92","$20,574.18","$3,026.74",11/22/2016,11,November,2016
Government,France,Montana,None,$351.00,$5.00,$56.71,"$19,905.21",$0.00,"$19,905.21","$17,386.56","$2,518.65",02/10/2017,2,February,2017
Government,France,Montana,None,$325.00,$3.00,$70.53,"$22,922.25",$0.00,"$22,922.25","$19,138.42","$3,783.83",03/19/2015,3,March,2015
Enterprise,Mexico,Carretera,None,$145.00,$7.00,$13.99,"$2,028.55",$0.00,"$2,028.55","$1,344.68",$683.87,01/09/2017,1,January,2017
Midmarket,France,Montana,None,$343.00,$7.00,$29.90,"$10,255.70",$0.00,"$10,255.70","$8,400.29","$1,855.41",07/14/2016,7,July,2016
Enterprise,USA,Carretera,None,$750.00,$5.00,$51.01,"$38,257.50",$0.00,"$38,257.50","$24,114.83","$14,142.67",06/20/2015,6,June,2015
Enterprise,Canada,Paseo,None,$409.00,$3.00,$39.79,"$16,274.11",$0.00,"$16,274.11","$14,128.88","$2,145.23",05/14/2017,5,May,2017
Midmarket,USA,Carretera,None,$337.00,$5.00,$74.14,"$24,985.18",$0.00,"$24,985.18","$16,109.06","$8,876.12",06/22/2015,6,June,2015
Small Business,Canada,Carretera,None,$203.00,$5.00,$56.00,"$11,368.00",$0.00,"$11,368.00","$9,079.67","$2,288.33",08/04/2016,8,August,2016
Government,Mexico,Montana,None,$619.00,$5.00,$24.43,"$15,122.17",$0.00,"$15,122.17","$11,841.76","$3,280.41",03/15/2018,3,March,2018
Small Business,France,Paseo,None,$472.00,$7.00,$90.50,"$42,716.00",$0.00,"$42,716.00","$35,585.41","$7,130.59",03/20/2016,3,March,2016
Government,France,Paseo,None,$965.00,$3.00,$36.36,"$35,087.40",$0.00,"$35,087.40","$26,858.47","$8,228.93",12/27/2014,12,December,2014
Enterprise,France,Montana,None,$899.00,$3.00,$75.80,"$68,144.20",$0.00,"$68,144.20","$42,104.25","$26,039.95",05/02/2015,5,May,2015
Government,Canada,Paseo,None,$99.00,$7.00,$80.19,"$7,938.81",$0.00,"$7,938.81","$6,444.36","$1,494.45",05/26/2016,5,May,2016
Enterprise,France,Paseo,None,$256.00,$5.00,$96.68,"$24,750.08",$0.00,"$24,750.08","$17,694.98","$7,055.10",11/18/2018,11,November,2018
Small Business,USA,Paseo,None,$613.00,$5.00,$54.87,"$33,635.31",$0.00,"$33,635.31","$23,413.05","$10,222.26",01/02/2018,1,January,2018
Enterprise,France,Montana,None,$903.00,$7.00,$65.43,"$59,083.29",$0.00,"$59,083.29","$53,027.37","$6,055.92",04/18/2016,4,April,2016
Small Business,Mexico,Paseo,None,$932.00,$3.00,$40.14,"$37,410.48",$0.00,"$37,410.48","$29,072.43","$8,338.05",09/08/2017,9,September,2017
Midmarket,USA,Carretera,None,$711.00,$7.00,$71.04,"$50,509.44",$0.00,"$50,509.44","$41,075.07","$9,434.37",08/10/2016,8,August,2016
Midmarket,France,Carretera,None,$614.00,$3.00,$51.70,"$31,743.80",$0.00,"$31,743.80","$24,058.56","$7,685.24",03/20/2018,3,March,2018
Midmarket,France,Paseo,None,$262.00,$3.00,$49.39,"$12,940.18",$0.00,"$12,940.18","$10,753.18","$2,187.00",05/04/2016,5,May,2016
Enterprise,Germany,Montana,None,$115.00,$3.00,$86.99,"$10,003.85",$0.00,"$10,003.85","$8,259.40","$1,744.45",05/10/2014,5,May,2014
Midmarket,Canada,Montana,None,$281.00,$5.00,$14.52,"$4,080.12",$0.00,"$4,080.12","$3,252.44",$827.68,07/10/2017,7,July,2017
Government,USA,Montana,None,$934.00,$5.00,$89.38,"$83,480.92",$0.00,"$83,480.92","$75,076.30","$8,404.62",08/27/2016,8,August,2016
Small Business,Germany,Paseo,None,$860.00,$7.00,$86.69,"$74,553.40",$0.00,"$74,553.40","$55,015.79","$19,537.61",09/03/2018,9,September,2018
Small Business,Mexico,Paseo,None,$899.00,$7.00,$55.57,"$49,957.43",$0.00,"$49,957.43","$40,558.32","$9,399.11",07/21/2016,7,July,2016
Government,Canada,Carretera,None,$712.00,$5.00,$54.12,"$38,533.44",$0.00,"$38,533.44","$32,342.40","$6,191.04",02/04/2016,2,February,2016
Enterprise,USA,Montana,None,$766.00,$7.00,$42.56,"$32,600.96",$0.00,"$32,600.96","$23,238.30","$9,362.66",08/23/2015,8,August,2015
Enterprise,France,Carretera,None,$369.00,$5.00,$99.48,"$36,708.12",$0.00,"$36,708.12","$27,059.48","$9,648.64",08/10/2016,8,August,2016
Small Business,USA,Carretera,None,$816.00,$5.00,$20.01,"$16,328.16",$0.00,"$16,328.16","$14,544.31","$1,783.85",11/07/2014,11,November,2014
Midmarket,France,Montana,None,$186.00,$3.00,$63.12,"$11,740.32",$0.00,"$11,740.32","$7,157.92","$4,582.40",02/22/2018,2,February,2018
Enterprise,Canada,Paseo,None,$930.00,$3.00,$71.35,"$66,355.50",$0.00,"$66,355.50","$46,487.91","$19,867.59",06/23/2015,6,June,2015
Enterprise,France,Paseo,None,$696.00,$5.00,$94.09,"$65,486.64",$0.00,"$65,486.64","$48,844.12","$16,642.52",10/12/2016,10,October,2016
Government,Mexico,Carretera,None,$986.00,$3.00,$80.22,"$79,096.92",$0.00,"$79,096.92","$47,492.91","$31,604.01",01/07/2017,1,January,2017
Government,France,Carretera,None,$615.00,$5.00,$67.95,"$41,789.25",$0.00,"$41,789.25","$36,345.70","$5,443.55",11/13/2014,11,November,2014
Midmarket,Mexico,Carretera,None,$114.00,$3.00,$20.51,"$2,338.14",$0.00,"$2,338.14","$1,603.67",$734.47,07/08/2014,7,July,2014
Enterprise,Canada,Carretera,None,$563.00,$7.00,$43.64,"$24,569.32",$0.00,"$24,569.32","$16,641.08","$7,928.24",10/27/2014,10,October,2014
Enterprise,Canada,Montana,None,$181.00,$7.00,$22.50,"$4,072.50",$0.00,"$4,072.50","$3,445.73",$626.77,02/13/2015,2,February,2015
Government,USA,Carretera,None,$383.00,$5.00,$89.31,"$34,205.73",$0.00,"$34,205.73","$23,376.02","$10,829.71",05/01/2016,5,May,2016
Enterprise,Mexico,Carretera,None,$81.00,$5.00,$77.47,"$6,275.07",$0.00,"$6,275.07","$5,003.03","$1,272.04",07/16/2014,7,July,2014
Small Business,Mexico,Paseo,None,$917.00,$3.00,$78.18,"$71,691.06",$0.00,"$71,691.06","$60,682.97","$11,008.09",10/19/2016,10,October,2016
Government,Germany,Paseo,None,$947.00,$3.00,$68.70,"$65,058.90",$0.00,"$65,058.90","$54,502.64","$10,556.26",11/28/2017,11,November,2017
Midmarket,Germany,Paseo,None,$921.00,$5.00,$55.63,"$51,235.23",$0.00,"$51,235.23","$42,760.17","$8,475.06",09/19/2016,9,September,2016
Government,Germany,Montana,None,$547.00,$7.00,$23.50,"$12,854.50",$0.00,"$12,854.50","$8,054.52","$4,799.98",01/21/2016,1,January,2016
Enterprise,France,Montana,None,$292.00,$7.00,$39.67,"$11,583.64",$0.00,"$11,583.64","$7,227.66","$4,355.98",09/26/2016,9,September,2016
Midmarket,Germany,Paseo,None,$241.00,$5.00,$22.32,"$5,379.12",$0.00,"$5,379.12","$3,722.52","$1,656.60",11/13/2018,11,November,2018
Government,Mexico,Paseo,None,$191.00,$7.00,$75.24,"$14,370.84",$0.00,"$14,370.84","$8,777.48","$5,593.36",05/07/2015,5,May,2015
Small Business,France,Carretera,None,$709.00,$5.00,$24.42,"$17,313.78",$0.00,"$17,313.78","$12,987.57","$4,326.21",06/15/2016,6,June,2016
Small Business,Canada,Carretera,None,$650.00,$3.00,$73.19,"$47,573.50",$0.00,"$47,573.50","$34,178.45","$13,395.05",08/26/2014,8,August,2014
Government,USA,Montana,None,$610.00,$7.00,$72.30,"$44,103.00",$0.00,"$44,103.00","$33,831.75","$10,271.25",11/06/2018,11,November,2018
Small Business,Germany,Montana,None,$697.00,$7.00,$51.34,"$35,783.98",$0.00,"$35,783.98","$24,677.94","$11,106.04",02/04/2016,2,February,2016
Small Business,Canada,Carretera,None,$240.00,$3.00,$22.17,"$5,320.80",$0.00,"$5,320.80","$3,967.86","$1,352.94",12/22/2018,12,December,2018
Small Business,Mexico,Paseo,None,$991.00,$3.00,$38.33,"$37,985.03",$0.00,"$37,985.03","$26,605.60","$11,379.43",07/23/2015,7,July,2015
Midmarket,USA,Carretera,None,$198.00,$7.00,$38.81,"$7,684.38",$0.00,"$7,684.38","$5,060.64","$2,623.74",12/20/2018,12,December,2018
Small Business,Canada,Montana,None,$648.00,$7.00,$73.03,"$47,323.44",$0.00,"$47,323.44","$37,613.14","$9,710.30",04/11/2014,4,April,2014
Small Business,USA,Montana,None,$465.00,$5.00,$20.24,"$9,411.60",$0.00,"$9,411.60","$7,548.39","$1,863.21",09/24/2016,9,September,2016
Small Business,Germany,Carretera,None,$569.00,$5.00,$84.62,"$48,148.78",$0.00,"$48,148.78","$40,867.22","$7,281.56",06/21/2014,6,June,2014
Midmarket,Mexico,Carretera,None,$784.00,$7.00,$78.49,"$61,536.16",$0.00,"$61,536.16","$53,070.36","$8,465.80",07/19/2017,7,July,2017
Government,USA,Carretera,None,$918.00,$5.00,$26.77,"$24,574.86",$0.00,"$24,574.86","$19,938.53","$4,636.33",11/02/2018,11,November,2018
Enterprise,Canada,Montana,None,$65.00,$3.00,$74.72,"$4,856.80",$0.00,"$4,856.80","$3,915.79",$941.01,06/17/2018,6,June,2018
Small Business,Germany,Paseo,None,$857.00,$5.00,$70.17,"$60,135.69",$0.00,"$60,135.69","$37,103.88","$23,031.81",11/15/2018,11,November,2018
Government,Germany,Carretera,None,$155.00,$5.00,$77.33,"$11,986.15",$0.00,"$11,986.15","$7,586.44","$4,399.71",08/20/2015,8,August,2015
Small Business,Canada,Montana,None,$332.00,$7.00,$27.00,"$8,964.00",$0.00,"$8,964.00","$7,563.54","$1,400.46",06/18/2014,6,June,2014
Midmarket,Canada,Montana,None,$153.00,$5.00,$24.18,"$3,699.54",$0.00,"$3,699.54","$2,478.27","$1,221.27",07/12/2017,7,July,2017
